Price,odometer,make,model,year,color
13328,186005,LEXUS,RX 450,2010,Silver
16621,192000,CHEVROLET,Equinox,2011,Black
8467,200000,HONDA,FIT,2006,Black
3607,168966,FORD,Escape,2011,White
11726,91901,HONDA,FIT,2014,Silver
39493,160931,HYUNDAI,Santa FE,2016,White
1803,258909,TOYOTA,Prius,2010,White
549,216118,HYUNDAI,Sonata,2013,Grey
1098,398069,TOYOTA,Camry,2014,Black
26657,128500,LEXUS,RX 350,2007,Silver
941,184467,MERCEDES-BENZ,E 350,2014,White
8781,0,FORD,Transit,1999,Blue
3000,350000,OPEL,Vectra,1997,White
1019,138038,LEXUS,RX 450,2013,White
59464,76000,HYUNDAI,Santa FE,2016,White
549,74146,TOYOTA,CHR,2018,White
7683,121840,HYUNDAI,Elantra,2016,Blue
28382,54317,HYUNDAI,Elantra,2016,White
549,295059,HYUNDAI,Sonata,2006,Blue
941,364523,LEXUS,RX 400,2008,Black
18826,112645,HYUNDAI,Elantra,2012,Silver
20698,187000,TOYOTA,Prius,2012,White
17562,39709,TOYOTA,Camry,2017,Black
7840,230000,FORD,Transit,2001,White
4704,0,OPEL,Vectra,1995,Green
20385,210000,MERCEDES-BENZ,E 220,2006,Black
549,0,LEXUS,GX 470,2008,White
30,169000,TOYOTA,Prius,2008,White
14454,158787,HYUNDAI,Elantra,2011,Silver
12074,420550,TOYOTA,Highlander,2009,Blue
15681,180000,MERCEDES-BENZ,Vito,2007,White
19444,175056,PORSCHE,Cayenne,2014,White
6899,200000,BMW,X5,2000,Silver
125,287274,TOYOTA,Highlander,2008,White
24462,250000,JEEP,Grand Cherokee,2007,Black
23235,162000,HYUNDAI,Santa FE,2011,Grey
51746,10200,TOYOTA,CHR Limited,2019,Red
7527,158000,HONDA,FIT,2010,Black
19121,103490,HYUNDAI,Elantra,2012,Silver
314,382746,LEXUS,RX 450,2010,Silver
24462,203200,TOYOTA,Camry,2013,Blue
45734,61057,HYUNDAI,H1,2016,Black
20165,11200,VOLKSWAGEN,Jetta,2016,Black
21326,141000,HYUNDAI,Sonata,2014,White
549,160259,PORSCHE,Cayenne,2010,Silver
220,239342,TOYOTA,Tacoma,2013,Silver
15681,128000,TOYOTA,Prius C,2012,Sky blue
55390,100734,HYUNDAI,Santa FE,2017,Black
12544,141500,TOYOTA,Aqua,2012,Black
17249,147000,FORD,Escape Hybrid,2008,White
34889,87768,HONDA,Civic,2016,Blue
862,264014,AUDI,Q7,2015,Black
14583,132542,RENAULT,Megane 1.5CDI,2008,White
392,1600,MERCEDES-BENZ,E 300,2017,Black
38500,87000,AUDI,Q5,2014,White
8781,260000,MERCEDES-BENZ,C 180,2001,Blue
87112,5323,MERCEDES-BENZ,GLA 250,2019,Grey
1411,87112,NISSAN,Juke,2015,Black
392,204318,BMW,535,2012,Black
23521,22000,CHEVROLET,Cruze LT,2018,Red
16935,83000,FORD,Fusion,2013,Silver
10349,170000,TOYOTA,VOXY,2007,Black
7213,312118,NISSAN,Juke,2013,Black
5331,130000,MERCEDES-BENZ,A 160,2004,Black
20526,200279,HYUNDAI,Tucson,2013,Grey
9722,719847,HYUNDAI,Sonata,2015,Orange
34657,154672,HYUNDAI,H1,2014,Silver
36564,110969,HYUNDAI,H1,2016,Black
314,225510,TOYOTA,Camry,2013,White
5488,210000,TOYOTA,Vitz,2001,Sky blue
30063,148105,HYUNDAI,H1,2015,Silver
15800,255456,CHEVROLET,Captiva,2011,Silver
43952,111643,HYUNDAI,H1,2017,Grey
53154,84506,HYUNDAI,Santa FE,2016,Silver
14740,288000,TOYOTA,Prius,2011,White
42337,75000,FORD,Mustang,2016,Silver
3763,94362,MERCEDES-BENZ,ML 350,2014,White
18189,175000,TOYOTA,Prius,2012,Silver
862,263190,LEXUS,GX 470,2008,White
220,193614,FORD,Escape,2009,White
5645,264877,TOYOTA,Highlander,2010,White
7527,27656,TOYOTA,Yaris,2019,White
21953,16000,HONDA,Civic,2014,White
8154,0,HONDA,Cr-v,1998,White
21953,195053,TOYOTA,Camry,2012,Black
19121,121362,HYUNDAI,Elantra,2012,Black
36065,69191,HYUNDAI,Santa FE,2014,White
8781,83000,HONDA,FIT,2012,Green
6247,40772,CHEVROLET,Cruze,2010,Black
16289,172000,CHEVROLET,Orlando,2012,Grey
77775,433811,MERCEDES-BENZ,GL 63 AMG,2014,Black
2822,350000,BMW,520 Vanos,1995,Blue
549,148213,SUBARU,Forester,2012,Blue
6981,103246,DAEWOO,Lacetti,2008,Black
27284,105394,HYUNDAI,Elantra,2016,Black
32929,160000,BMW,428 Sport Line,2013,Black
18817,333333,NISSAN,Patrol,1990,Black
4234,0,HONDA,Civic,1997,Blue
15053,214000,MERCEDES-BENZ,E 320,2004,Grey
15458,123346,HYUNDAI,Genesis,2009,Black
2901,80827,CHEVROLET,Cruze,2014,Green
706,64464,PORSCHE,911,2013,Black
314,91760,FORD,Fusion,2015,Black
15681,275240,LEXUS,GX 460,2010,Silver
26657,300000,MERCEDES-BENZ,Sprinter,2004,White
10663,318400,TOYOTA,Prius,2007,Silver
12858,91200,FORD,Focus SE,2015,Sky blue
1019,137802,BMW,X5,2013,Black
549,151586,BMW,535,2013,White
12858,107000,KIA,Picanto,2016,Silver
15000,210408,BMW,328,2008,White
85553,100567,FORD,Explorer,2017,Black
44752,86000,HYUNDAI,H1,2016,Grey
17158,122740,HYUNDAI,Elantra,2010,White
12231,144000,MITSUBISHI,Airtrek,2005,White
11917,150000,MERCEDES-BENZ,E 500 AMG,2003,White
1254,100000,MITSUBISHI,Lancer,1997,Red
94,178000,HONDA,FIT,2003,Silver
25591,85704,SSANGYONG,Korando,2013,Silver
